docto_id,referencia,fecha,fecha_cancelacion,fecha_entrega,partidas,ubicacion,cliente,cantidad_pedida,cantidad_surtida,tarimas,estado,
DO_TR0003314201,ST-00033142-IFA3Z113957,"2026-02-05 17:12:40.793747","2026-03-07 17:12:40.793748",,2,ST01,"Cliente contenido en la orden: DO_TR0003239901",19.00,19.00,4,EMBARCADO
INVS-CED-3-3-20260207-000000038,INVE-REF-CED-INV-3-3-20260207-000000037,"2026-02-07 13:50:48.931033","2026-03-09 13:50:48.931033",,48,STAR-1,INVENTARIOS,13.00,13.00,2,EMBARCADO
DO_117565311372,62528899-IFA3Z473865,"2026-02-24 10:20:45.006175","2026-03-26 10:20:45.006176",,3,ST22,COPPEL,96.00,80.00,18,EMBARCADO
DO_117553811373,62505299-IFA3Z925554,"2026-02-23 20:20:15.595623","2026-03-25 20:20:15.595623",,2,ST04,COPPEL,36.00,36.00,6,EMBARCADO
INVS-CED-3-3-20260212-000000118,INVE-REF-CED-INV-3-3-20260212-000000117,"2026-02-12 15:17:40.380418","2026-03-14 15:17:40.380418",,21,STAR-1,INVENTARIOS,12.00,12.00,1,EMBARCADO
DO_TR0003387301,ST-00033873-IFA3Z864611,"2026-02-13 14:00:22.578154","2026-03-15 14:00:22.578154",,157,ST01,"Cliente contenido en la orden: DO_TR0003239901",542.00,487.00,189,EMBARCADO
cc2bed78-d435-4aa9-97be-cbfea4e0ce30,INVE-REF-CED-INV-3-3-20260211-000000573,"2026-02-25 16:55:03.938554","2026-03-27 16:55:03.938554",,1,STAR-1,INVENTARIOS,12.00,12.00,1,EMBARCADO
DO_TR0003522001,ST-00035220-IFA3Z974805,"2026-03-04 17:00:27.530779","2026-04-03 17:00:27.530779",,181,ST01,"Cliente contenido en la orden: DO_TR0003340501",810.00,777.00,226,EMBARCADO
DO_TR0003415801,ST-00034158-IFA3Z810855,"2026-02-18 12:00:19.12473","2026-03-20 12:00:19.124731",,4,ST01,"Cliente contenido en la orden: DO_TR0003239901",147.00,76.00,11,EMBARCADO
INVS-CED-3-3-20260308-000000759,INVE-REF-CED-INV-3-3-20260308-000000758,"2026-03-08 04:18:04.263793","2026-04-07 04:18:04.263793",,7,STAR-1,INVENTARIOS,4.00,4.00,1,EMBARCADO
INVS-CED-3-3-20260227-000000216,INVE-REF-CED-INV-3-3-20260227-000000215,"2026-02-27 08:40:47.96505","2026-03-29 08:40:47.96505",,18,STAR-1,INVENTARIOS,4.00,4.00,1,EMBARCADO
INVS-CED-3-3-20260308-000000696,INVE-REF-CED-INV-3-3-20260308-000000695,"2026-03-08 00:07:11.380362","2026-04-07 00:07:11.380362",,5,STAR-1,INVENTARIOS,53.00,53.00,5,EMBARCADO
DO_117569704751,"ENTREGA 20 DE MARZO_AJUSCO-IFA3Z509108","2026-02-24 14:20:06.02387","2026-03-26 14:20:06.023871",,13,ST25,TLAKATI,13.00,8.00,8,EMBARCADO
INVS-CED-3-3-20260217-000000163,INVE-REF-CED-INV-3-3-20260217-000000162,"2026-02-17 08:27:42.12606","2026-03-19 08:27:42.12606",,13,STAR-1,INVENTARIOS,132.00,132.00,11,EMBARCADO
INVS-CED-3-3-20260305-000000386,INVE-REF-CED-INV-3-3-20260305-000000385,"2026-03-05 17:00:50.038765","2026-04-04 17:00:50.038765",,10,STAR-1,INVENTARIOS,1.00,1.00,1,EMBARCADO
